,x,y
musica cearense,8675,792
connecticut indie,10106,480
swiss singer-songwriter,8552,684
beach music,9143,758
cowpunk,8527,447
musica capixaba,6239,827
boeremusiek,8187,827
rock-and-roll,12110,774
alternative dance,2364,770
chill-out trance,2224,776
field recording,12840,300
japanese electronic,1571,1147
yunnan traditional,13229,718
spanish experimental,11136,382
lithuanian folk,7280,763
detske pisnicky,12160,1016
chill groove,2269,1042
balearic,1472,1057
indian jazz,12086,776
rhythm and boogie,12198,874
sung poetry,12025,758
shakuhachi,16517,319
papuri,10228,486
arab pop,6723,758
idol,6575,567
rap cearense,7523,1031
scottish rock,6785,433
mexican rock-and-roll,11395,772
turkish rock,9033,586
wellington indie,9910,461
maine hip hop,5670,963
rap catarinense,7628,1008
chinese electropop,4108,783
chicago soul,11877,755
c86,6995,457
jazz vibraphone,13425,943
finnish progressive rock,10519,421
ohio indie,9750,419
zambian pop,5612,955
devon indie,8211,569
swedish singer-songwriter,11656,581
classic schlager,8577,673
rockabilly,11938,786
blues,13655,1012
spanish rock,5126,581
benga,7381,974
haitian gospel,8690,611
samba,11840,861
chanson quebecois,11174,677
historic string quartet,16773,378
eau claire indie,11211,476
gospel rap,5694,1033
dfw rap,4002,1091
new jersey rap,7121,1057
modern funk,6690,1018
candy pop,3722,509
finnish hip hop,4770,1023
volksmusik,7592,653
palm desert scene,9539,378
zillertal,5835,832
french shoegaze,6635,206
pop rock brasileiro,4599,581
atlanta indie,7967,423
arizona punk,6822,359
belgian blues,8174,746
rock gaucho,5908,551
sertanejo tradicional,9653,876
indie fuzzpop,6933,473
russian hip hop,6214,965
australian r&b,4983,857
sleep,12532,108
new age piano,15417,664
brazilian modern jazz,12791,840
jam band,9946,713
indie triste,12149,763
missouri indie,10253,558
hurdy-gurdy,7618,366
granada indie,5808,435
zim gospel,7765,656
texas blues,13804,1025
cantautor catala,11607,684
bounce,3053,1138
taiwan hip hop,3933,1029
dreamgaze,5557,215
pinoy metal,8335,323
atmospheric post-rock,9253,287
west coast reggae,4807,1046
j-punk,5239,338
stockholm indie,7802,413
christian hip hop,5923,967
neo-crust,8072,148
rap potiguar,6490,1051
danish alternative rock,6909,374
rap paranaense,7108,1010
candombe,8429,976
musica campineira,7905,635
liverpool indie,7251,461
women's choir,14813,304
karneval,5083,767
maine indie,10204,535
progressive doom,7324,178
western ny metal,7112,210
melodic hardcore,6884,287
grindcore,8469,145
folklore venezolano,12008,959
progressive thrash,6292,253
haryanvi pop,2401,1132
deathrash,7337,228
deep symphonic black metal,8211,110
bouzouki,12312,779
scratch,4499,1129
vintage french electronic,10494,598
german trance,1277,849
classical percussion,14372,715
norwegian techno,1272,1155
german worship,9303,834
mantra,11370,772
taiwan indie,6736,531
brazilian gospel,8085,531
slack-key guitar,12974,799
women's music,11383,723
roots worship,9798,451
lute,16078,920
new orleans blues,12508,910
east coast hip hop,5923,1107
crunk,3175,1115
southern hip hop,4705,1058
romanian trap,6403,1058
